age,gender,covid_distancing,covid_masks,vaccinated,self_rated_mental_health,ethnicity,hours,occupation,work_from_home,income,educational_attainment
40 to 49 years-old,Man,Somewhat,Somewhat,No,Negative,White,20,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,Asian,8,Health,Hybrid,"$30,000 to $59,999",Some College
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,30,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Other,8,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",High School Diploma or Lower
60 years and older,Man,Somewhat,Not at all,No,Positive,White,35,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Negative,White,40,Health,Do Not Work from Home,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Very Closely,Very Closely,No,Negative,Other,80,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,35,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Non-binary,Somewhat,Very Closely,No,Negative,White,15,Natural resources and agriculture,Do Not Work from Home,"Less than $30,000",High School Diploma or Lower
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,White,10,Natural and applied sciences,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,No,Positive,White,40,Business,Hybrid,"$30,000 to $59,999",Some College
60 years and older,Man,Very Closely,Very Closely,"Yes, one dose",Negative,White,60,Health,Do Not Work from Home,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,40,Sales and service,Do Not Work from Home,"$60,000 to $89,999",Some College
50 to 59 years-old,Man,Very Closely,Very Closely,No,Positive,White,40,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,"African, Caribbean, or Black ",35,Sales and service,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Negative,Asian,40,Manufacturing and utilities,Do Not Work from Home,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Negative,Other,60,Sales and service,Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Negative,Other,60,Sales and service,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Negative,Asian,40,Manufacturing and utilities,Do Not Work from Home,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,Asian,4,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Not at all,Very Closely,"Yes, one dose",Positive,Other,5,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Positive,White,35,Health,Hybrid,"$60,000 to $89,999",Some College
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,Middle Eastern,2,"education, law and social, community, and government services",Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,35,Management,Hybrid,"$30,000 to $59,999",Some College
40 to 49 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Negative,White,37.5,Business,Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,2,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,40,Manufacturing and utilities,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,No,Negative,Asian,37,Sales and service,Do Not Work from Home,"Less than $30,000",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,40,Management,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,60,"education, law and social, community, and government services",Hybrid,"$90,000 or more",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, two doses",Negative,Middle Eastern,8,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Somewhat,Somewhat,No,Positive,Indigenous,6,Business,Hybrid,"$30,000 to $59,999",Some College
50 to 59 years-old,Woman,Very Closely,Very Closely,No,Positive,White,35,Business,Hybrid,"Less than $30,000",Some College
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,25,Sales and service,Do Not Work from Home,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Not at all,Somewhat,"Yes, two doses",Negative,Other,3,"art, culture, recreation and sport",Do Not Work from Home,"$60,000 to $89,999",Some College
40 to 49 years-old,Woman,Somewhat,Very Closely,No,Positive,White,40,"education, law and social, community, and government services",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",40,Management,Hybrid,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Somewhat,Very Closely,No,Negative,White,30,"education, law and social, community, and government services",Do Not Work from Home,"$60,000 to $89,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Somewhat,Very Closely,No,Negative,White,35,Business,Do Not Work from Home,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,"education, law and social, community, and government services",Work from Home Only,"Less than $30,000",Some College
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Negative,White,35,Sales and service,Hybrid,"$60,000 to $89,999",High School Diploma or Lower
18 to 29 years-old,Man,Somewhat,Very Closely,No,Positive,Indigenous,25,Business,Hybrid,"$60,000 to $89,999",Some College
60 years and older,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,20,"education, law and social, community, and government services",Work from Home Only,"$90,000 or more",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,20,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,20,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,20,Sales and service,Hybrid,"Less than $30,000",High School Diploma or Lower
60 years and older,Woman,Very Closely,Very Closely,No,Positive,White,40,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Some College
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Negative,"African, Caribbean, or Black ",37,Natural resources and agriculture,Hybrid,"$30,000 to $59,999",High School Diploma or Lower
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,White,40,Health,Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Not at all,Not at all,No,Positive,White,8,Natural and applied sciences,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,"Yes, two doses",Positive,Asian,6,Sales and service,Hybrid,"$90,000 or more",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,25,"education, law and social, community, and government services",Hybrid,"$90,000 or more",Some College
18 to 29 years-old,Man,Not at all,Somewhat,"Yes, two doses",Positive,Middle Eastern,26,Natural and applied sciences,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,White,6,Manufacturing and utilities,Hybrid,"$60,000 to $89,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Somewhat,Somewhat,"Yes, two doses",Positive,"African, Caribbean, or Black ",5,Business,Hybrid,"Less than $30,000",Some College
50 to 59 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Negative,White,40,Sales and service,Do Not Work from Home,"$30,000 to $59,999",High School Diploma or Lower
30 to 39 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,"African, Caribbean, or Black ",8,"Trades, transport and equipment operators",Hybrid,"Less than $30,000",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,40,Health,Do Not Work from Home,"Less than $30,000",Some College
60 years and older,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,15,"education, law and social, community, and government services",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
30 to 39 years-old,Woman,Somewhat,Very Closely,No,Negative,White,38,"education, law and social, community, and government services",Hybrid,"Less than $30,000",Some College
30 to 39 years-old,Non-binary,Somewhat,Very Closely,"Yes, one dose",Negative,White,10,"education, law and social, community, and government services",Do Not Work from Home,"Less than $30,000",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,White,15,"education, law and social, community, and government services",Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Non-binary,Somewhat,Somewhat,"Yes, two doses",Negative,Other,33,Sales and service,Hybrid,"Less than $30,000",Some College
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,35,Health,Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,40,Sales and service,Do Not Work from Home,"$30,000 to $59,999",Some College
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,45,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,"African, Caribbean, or Black ",40,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",High School Diploma or Lower
18 to 29 years-old,Man,Somewhat,Somewhat,"Yes, one dose",Positive,White,8,"art, culture, recreation and sport",Hybrid,"Less than $30,000",Some College
40 to 49 years-old,Man,Very Closely,Very Closely,"Yes, one dose",Positive,Indigenous,7,Health,Hybrid,"Less than $30,000",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Negative,Middle Eastern,40,"education, law and social, community, and government services",Work from Home Only,"$60,000 to $89,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,Other,35,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,No,Positive,"African, Caribbean, or Black ",55,"education, law and social, community, and government services",Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
50 to 59 years-old,Woman,Somewhat,Not at all,No,Positive,White,12,Health,Do Not Work from Home,"$60,000 to $89,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Somewhat,"Yes, one dose",Positive,Indigenous,5,Management,Work from Home Only,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,White,15,Manufacturing and utilities,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Very Closely,Very Closely,No,Positive,White,15,Manufacturing and utilities,Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,White,30,Management,Hybrid,"$60,000 to $89,999",High School Diploma or Lower
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, two doses",Positive,Asian,5,"Trades, transport and equipment operators",Hybrid,"$30,000 to $59,999",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,White,5,Natural and applied sciences,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Woman,Somewhat,Very Closely,No,Negative,Other,30,"art, culture, recreation and sport",Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Woman,Not at all,Very Closely,"Yes, one dose",Positive,Indigenous,6,Business,Hybrid,"Less than $30,000",Some College
18 to 29 years-old,Man,Somewhat,Very Closely,"Yes, one dose",Positive,Indigenous,40,Business,Hybrid,"Less than $30,000",High School Diploma or Lower
40 to 49 years-old,Woman,Not at all,Somewhat,No,Positive,White,40,Business,Do Not Work from Home,"$60,000 to $89,999",Some College
30 to 39 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,35,"art, culture, recreation and sport",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Somewhat,Very Closely,"Yes, one dose",Positive,White,25,Business,Work from Home Only,"Less than $30,000",Bachelor's Degree or Higher
18 to 29 years-old,Man,Very Closely,Very Closely,"Yes, two doses",Positive,Indigenous,30,Business,Hybrid,"$60,000 to $89,999",High School Diploma or Lower
18 to 29 years-old,Woman,Somewhat,Somewhat,No,Positive,Asian,30,"art, culture, recreation and sport",Work from Home Only,"$30,000 to $59,999",Some College
30 to 39 years-old,Woman,Somewhat,Somewhat,No,Negative,White,50,"art, culture, recreation and sport",Do Not Work from Home,"$30,000 to $59,999",High School Diploma or Lower
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,50,"education, law and social, community, and government services",Do Not Work from Home,"$30,000 to $59,999",Some College
18 to 29 years-old,Woman,Somewhat,Somewhat,No,Negative,White,28,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
40 to 49 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,28,Sales and service,Do Not Work from Home,"$60,000 to $89,999",High School Diploma or Lower
50 to 59 years-old,Woman,Very Closely,Very Closely,"Yes, one dose",Positive,White,45,"education, law and social, community, and government services",Hybrid,"$30,000 to $59,999",Bachelor's Degree or Higher
